log_message,severity
Scheduled backup completed successfully,normal
API gateway responded 200 OK on node-2,normal
Service restart completed normally on node-1,normal
Scheduled backup completed successfully,normal
Database query optimised response 8ms service-api,normal
Service crashed exit code 137 OOM killed,critical
CPU throttling starting at 68 percent on node-1,warning
Cache hit ratio 94 percent on node-1,normal
Disk IO exceeded safe limit critical failure at 14:32,critical
Service health check passed,normal
Memory usage approaching threshold 72 percent,warning
Service health check passed service-api,normal
Response latency spike detected 180ms,warning
Disk usage high 78 percent service-api,warning
Service crashed exit code 137 OOM killed at 14:32,critical
Configuration reload successful,normal
Connection pool exhausted retrying service-api,warning
API gateway responded 200 OK on node-2,normal
Memory overflow container restarting service-api,critical
User authentication successful service-api,normal
Load balancer health check OK on node-2,normal
Request processed successfully in 12ms on node-2,normal
Slow query detected taking 450ms at 14:32,warning
Request processed successfully in 12ms service-api,normal
Retry attempt number 2 for service auth service-api,warning
Service health check passed on node-2,normal
High memory pressure swap usage increased at 14:32,warning
API gateway responded 200 OK service-api,normal
Fatal error segmentation fault core dumped,critical
Database connection pool near limit 85 percent on node-2,warning
Configuration reload successful service-api,normal
Service restart completed normally,normal
Disk usage high 78 percent,warning
Database query optimised response 8ms,normal
Cache hit ratio 94 percent service-api,normal
Slow query detected taking 450ms at 14:32,warning
Connection timeout on service auth ERROR on node-2,critical
Load balancer health check OK,normal
Service restart completed normally at 14:32,normal
Cache hit ratio 94 percent,normal
User authentication successful,normal
Request processed successfully in 12ms service-api,normal
Service health check passed on node-2,normal
Load balancer health check OK on node-1,normal
Configuration reload successful,normal
Service restart completed normally on node-2,normal
Load balancer health check OK on node-2,normal
Disk IO exceeded safe limit critical failure,critical
Configuration reload successful on node-2,normal
Service health check passed,normal
Disk IO exceeded safe limit critical failure,critical
Service restart completed normally at 14:32,normal
CPU throttling starting at 68 percent,warning
API gateway responded 200 OK at 14:32,normal
Load balancer health check OK at 14:32,normal
Database query optimised response 8ms,normal
Service crashed exit code 137 OOM killed,critical
Database query optimised response 8ms,normal
Service restart completed normally on node-2,normal
API gateway responded 200 OK on node-2,normal
Request processed successfully in 12ms on node-2,normal
Configuration reload successful service-api,normal
CPU throttling starting at 68 percent,warning
Request processed successfully in 12ms at 14:32,normal
User authentication successful on node-2,normal
Fatal error segmentation fault core dumped,critical
Connection pool exhausted retrying on node-2,warning
Response latency spike detected 180ms on node-1,warning
Network interface down packet loss 100 percent at 14:32,critical
Service restart completed normally,normal
User authentication successful service-api,normal
Service restart completed normally on node-1,normal
Memory overflow container restarting service-api,critical
Service restart completed normally service-api,normal
Service health check passed,normal
Database query optimised response 8ms service-api,normal
Scheduled backup completed successfully at 14:32,normal
Cache hit ratio 94 percent,normal
Database connection pool near limit 85 percent on node-2,warning
Memory overflow container restarting,critical
CPU throttling starting at 68 percent service-api,warning
Database query optimised response 8ms,normal
Response latency spike detected 180ms on node-1,warning
User authentication successful on node-1,normal
Database query optimised response 8ms on node-2,normal
Request processed successfully in 12ms on node-2,normal
Response latency spike detected 180ms on node-1,warning
User authentication successful,normal
Database query optimised response 8ms,normal
Service crashed exit code 137 OOM killed on node-1,critical
Service health check passed on node-2,normal
Load balancer health check OK at 14:32,normal
Request processed successfully in 12ms,normal
Retry attempt number 2 for service auth on node-2,warning
Disk usage high 78 percent,warning
CPU throttling starting at 68 percent at 14:32,warning
API gateway responded 200 OK on node-1,normal
Disk usage high 78 percent on node-2,warning
Database connection failed timeout exceeded,critical
Database connection pool near limit 85 percent service-api,warning
Cache hit ratio 94 percent at 14:32,normal
Fatal error segmentation fault core dumped on node-2,critical
Service health check passed at 14:32,normal
Request processed successfully in 12ms service-api,normal
