cpu_usage,memory_usage,requests_per_sec,latency_ms,failure_label
11.38,31.0,105.8,77.6,0
59.07,23.48,155.48,17.53,0
37.79,21.06,99.71,70.24,0
22.12,43.57,252.36,15.55,0
48.4,33.61,88.87,96.36,0
15.1,23.87,261.87,66.32,0
50.14,41.45,293.28,47.18,0
55.62,44.74,265.43,64.07,0
12.52,29.12,122.35,21.78,0
15.56,31.12,208.92,46.01,0
21.52,30.68,284.16,70.08,0
19.41,49.17,90.85,47.25,0
95.68,91.14,35.81,821.43,1
22.6,21.28,128.86,37.76,0
61.86,55.05,128.67,70.71,0
60.3,38.35,116.22,35.96,0
24.45,43.38,274.46,48.95,0
64.86,40.38,72.73,19.0,0
44.51,51.68,155.54,20.4,0
64.79,41.16,292.77,88.17,0
49.64,47.27,184.24,37.68,0
16.14,37.39,163.43,96.07,0
75.79,72.51,385.73,378.16,1
76.57,75.97,471.79,188.21,1
39.67,51.15,182.59,15.05,0
11.07,57.16,269.68,85.69,0
13.19,55.12,286.74,22.28,0
13.81,50.42,241.46,25.91,0
40.24,30.6,268.11,50.97,0
39.66,49.2,100.29,41.5,0
95.8,88.76,28.29,460.5,1
28.59,43.53,107.53,33.72,0
44.71,29.16,276.36,88.07,0
23.09,46.76,103.56,26.25,0
82.56,71.82,506.92,351.87,1
15.33,37.24,155.89,54.7,0
47.04,59.37,74.6,49.22,0
57.39,29.95,97.55,53.13,0
25.32,29.99,280.82,52.67,0
82.11,61.26,549.86,359.01,1
99.12,96.97,12.48,642.82,1
32.06,22.35,144.74,98.75,0
53.12,38.2,155.75,96.37,0
94.67,94.37,11.97,548.35,1
94.95,90.84,38.66,428.58,1
37.66,54.11,89.36,96.67,0
20.22,43.8,218.8,34.99,0
58.97,29.85,198.63,67.65,0
42.1,40.91,283.68,32.36,0
23.13,35.83,217.92,40.5,0
51.35,22.9,164.57,99.87,0
88.88,84.26,16.93,866.63,1
89.34,69.24,381.55,358.44,1
43.64,59.49,213.49,15.66,0
26.47,46.54,284.73,26.41,0
15.89,42.13,118.09,66.41,0
21.2,45.37,116.0,56.53,0
88.61,62.31,434.72,219.17,1
52.41,45.48,115.49,78.0,0
33.52,20.39,68.81,90.06,0
82.0,80.86,466.5,187.02,1
26.95,55.96,249.03,88.16,0
74.62,66.24,370.56,345.03,1
78.94,75.52,380.91,382.47,1
91.48,80.27,526.28,156.2,1
28.27,57.23,250.56,88.45,0
24.67,51.49,77.02,89.13,0
74.89,80.41,442.06,226.3,1
22.52,20.95,98.28,42.9,0
91.27,66.98,478.3,249.92,1
94.43,98.78,10.19,885.2,1
62.94,30.62,77.1,51.94,0
27.25,44.25,177.86,47.74,0
24.01,48.35,50.42,93.67,0
49.57,49.68,217.66,45.96,0
46.53,33.21,128.48,87.08,0
26.52,32.37,152.1,49.2,0
17.0,36.82,285.09,72.57,0
83.54,67.52,459.59,150.1,1
33.64,43.2,213.68,54.52,0
21.75,38.93,275.3,82.66,0
14.66,40.62,208.24,43.49,0
51.31,46.91,106.16,31.93,0
23.47,39.01,262.43,21.19,0
